date,行业名称,predicted_load,tier
2026-01-19,    第三产业,19059.562420534843,大行业
2026-01-20,    第三产业,18587.116117593945,大行业
2026-01-21,    第三产业,18412.090741776774,大行业
2026-01-22,    第三产业,18332.718828168196,大行业
2026-01-23,    第三产业,18338.284257802854,大行业
2026-01-24,    第三产业,17344.76108147545,大行业
2026-01-25,    第三产业,17828.66741621317,大行业
2026-01-26,    第三产业,19172.276804362984,大行业
2026-01-27,    第三产业,18461.781202627946,大行业
2026-01-28,    第三产业,18527.512823055335,大行业
2026-01-29,    第三产业,18499.34976443885,大行业
2026-01-30,    第三产业,18535.27537311411,大行业
2026-01-31,    第三产业,17555.387108529685,大行业
2026-02-01,    第三产业,17800.29686533426,大行业
2026-01-19,    第二产业,38546.29245911846,大行业
2026-01-20,    第二产业,38236.375532721104,大行业
2026-01-21,    第二产业,37835.244599081154,大行业
2026-01-22,    第二产业,36877.2707031847,大行业
2026-01-23,    第二产业,36094.2890809864,大行业
2026-01-24,    第二产业,35139.73761262634,大行业
2026-01-25,    第二产业,33926.805673188624,大行业
2026-01-26,    第二产业,34377.979543222966,大行业
2026-01-27,    第二产业,34361.201504563396,大行业
2026-01-28,    第二产业,33907.67507366147,大行业
2026-01-29,    第二产业,33254.04680065539,大行业
2026-01-30,    第二产业,32738.53722348498,大行业
2026-01-31,    第二产业,32105.91521407007,大行业
2026-02-01,    第二产业,31139.48178645465,大行业
2026-01-19,B、城乡居民生活用电合计,17831.204409530426,大行业
2026-01-20,B、城乡居民生活用电合计,19182.69034119103,大行业
2026-01-21,B、城乡居民生活用电合计,20027.568456070818,大行业
2026-01-22,B、城乡居民生活用电合计,21135.348141267634,大行业
2026-01-23,B、城乡居民生活用电合计,22058.59456805393,大行业
2026-01-24,B、城乡居民生活用电合计,21703.387041004262,大行业
2026-01-25,B、城乡居民生活用电合计,21320.033994548736,大行业
2026-01-26,B、城乡居民生活用电合计,20967.63252742056,大行业
2026-01-27,B、城乡居民生活用电合计,20893.42949440669,大行业
2026-01-28,B、城乡居民生活用电合计,20695.32349539163,大行业
2026-01-29,B、城乡居民生活用电合计,20655.63250021327,大行业
2026-01-30,B、城乡居民生活用电合计,20763.2687945992,大行业
2026-01-31,B、城乡居民生活用电合计,20676.266422288434,大行业
2026-02-01,B、城乡居民生活用电合计,20585.101411087835,大行业
2026-01-19,客户用电量,74273.27946163957,大行业
2026-01-20,客户用电量,74050.9742729685,大行业
2026-01-21,客户用电量,74015.64434267674,大行业
2026-01-22,客户用电量,74042.128462156,大行业
2026-01-23,客户用电量,74016.02273246303,大行业
2026-01-24,客户用电量,72485.49217712095,大行业
2026-01-25,客户用电量,71923.55476199894,大行业
2026-01-26,客户用电量,73837.83437685933,大行业
2026-01-27,客户用电量,73768.33308697992,大行业
2026-01-28,客户用电量,73709.28330209611,大行业
2026-01-29,客户用电量,73812.56441920833,大行业
2026-01-30,客户用电量,73602.32320210665,大行业
2026-01-31,客户用电量,72390.42819577987,大行业
2026-02-01,客户用电量,71772.85088894409,大行业
